cups,principal_component_1,principal_component_2
0114f2a9ef8e,2.959567761502088,-4.054553308858825
011952cf0a27,3.7798227417438377,-4.748540088629908
02b3106d73c7,2.4803798140500994,1.2716923037854766
03c8338d7f1d,-2.2555286083510957,0.07227295639040508
04666163609d,-1.706932912235344,1.317739482604061
07efa654691a,2.56120218876251,1.9596133703407157
08565e582514,-2.810548377955047,0.29814707677251384
0d9678df292f,1.4646923808044878,1.7832400724327502
0e6a45c8d43b,2.2354605240645866,-1.2348169529176176
11c65598e4aa,-7.242591229212424,-1.4852980251830699
127a14c3f85b,-0.8480394677276306,6.129649231678882
17a509e5b3fd,-0.4119872499287122,0.19611605848189612
19153be7ac88,-3.278675665829074,0.3946208568107432
1a0b9aa571b5,-0.6580276940554607,-0.920444302938827
1bd2d65d3ee4,-1.1225587896285076,-1.9121359873590358
1c8a857523c6,-1.4323831139216587,-0.5564524565514022
20eff1413834,-3.7121431223639436,0.10341192145009782
259e3b12740a,2.6757262184270814,-0.1589793217878161
27233c281b84,4.343460741511448,0.028118324651502963
277f70c6024c,4.826976551900311,-2.087502870295442
29abdc229bd7,-3.7201397791260042,0.7845725095926971
2b6fe1934f34,-1.404969971402864,-3.6743207068765593
2e1cb9ed40da,3.6131509488840643,1.7390119619656323
2e4065ba71b8,-1.2226480996643248,0.8205691198999014
2e8f61c97ff0,3.9848234329152814,0.20842604736579032
30c53527a644,-0.7167935405485545,-0.8124627851105075
31a15c8a5985,-7.511720893299261,-1.349478494595764
320c764758d0,-0.874037916665234,6.078442098330743
3341083403f9,-7.193962149664865,-0.7953344833707137
3395624729d9,-1.22116642219875,1.497696054997181
3446f68001b1,-1.2939199713889509,0.17016842194396295
35d9bd5323b9,0.43448526599212534,-1.047878295384705
38194b2cee3c,6.118673700095157,-2.0662143468890855
3834b65f3a70,-2.0133158483632356,2.2224863100698173
3a04ebb76f6a,-1.5268493012064415,-1.1663416817683925
426fb012b93d,-5.130117843625057,-1.0877018990904745
43418b1f8c9d,-8.24447574662553,-0.9657817776788835
43c6b2a5a249,-4.2060691267964705,-0.27527235691822094
49771a22ec98,-3.2006729009643227,0.28959985726064835
4b5a8b35b128,-1.5652634640109617,-0.6391987132639175
4d0a1993dfcd,-4.541774230169737,0.639746111776109
4df4744c39fb,-3.5572229856522397,-0.24752687707585416
4f514478e276,2.512258750113072,0.9308552151025988
5050e482704a,11.230601408047637,-0.9804129185356499
51bcc44b2656,-2.047790517527955,-1.1133526146297374
522ec2c9ceb6,1.4493971183047498,-0.0723932226877105
524130194799,-5.376337293911984,1.0717910453172368
540f95348569,-2.403211086681739,0.2871738255429728
56bf498d0564,-0.22108009087952174,1.2704597265420337
5937660386d6,-3.074398521946875,0.5212549754098513
5b13f13a01ed,1.620810265265931,-2.855663146238616
5ea12751c266,-6.277106134507149,0.6268208751144883
5f23ca5327cd,-1.5290827180092017,-1.3134978356146123
5f4793761400,-5.800562685540716,-0.5651147682868707
609781c124a2,-0.47749726046617946,-0.8238977235790119
60e6d6d2541a,8.153724014025839,0.6281361352603433
65e32355a97a,1.854845222663512,1.8213022651543374
6906cceeeb78,-1.134822210550901,-0.2664715717950912
6c1405ef7062,-1.6880000101819612,0.3037474496704645
6f00c403abd0,6.974678352722067,1.117990133259559
6fadd3d6b297,-0.8056108969398896,-2.114695876710378
71d3885d1431,0.5663089273365172,-1.2258993678253385
71d9a9f96bca,-0.2256403479299868,-0.8149214461320576
736f2de66813,2.061848880166596,-4.264559328190415
7766e16a2d4a,1.2994255402381603,1.3689268655904565
78d0d9825060,-3.566440061479158,-0.3557462543111654
7a2e7beb0672,3.9732279560441337,1.7544741671366393
7a6739bd338e,3.2432003285065982,-0.25580234562690435
7bd57f96a653,-4.34080893364492,-0.25294327219762275
7d4cfc37189e,11.028574515867135,-0.8588137772269897
806dc54ccb69,-6.075773677005394,-0.8889866213991863
83c7fbada9b4,-0.8279286794585784,1.5641159412022854
84736eaf5a9d,4.922105966040161,-2.1939799800664708
84bc6f535519,17.55266372454621,-5.788471274558888
8748f2316ba9,8.615889271679691,-0.3847711869355387
883788a8f885,5.354806608602996,2.1120873643992963
90a0336aae39,-1.0544779672713664,2.318728926179264
95ee02b21baa,-5.370711993698437,-0.16315953401272734
960038979a08,-3.1776622009568682,2.111455215345874
99d555540f0d,-7.957655002076885,-1.1873424803198873
9a3b34521cfa,1.6930817075734288,-4.032175564204057
9c890590d367,-4.279917930206107,-1.3348553079144263
9fa8e9422c8d,-0.42853790116119456,2.132775287844889
a1c7814da365,5.971382888262359,-0.5595101276896719
a3551673db03,-5.115903279820073,-0.044253905399262175
a436c4d5cbeb,1.1628171859801577,-0.08267375783806931
a97896649004,-5.6757837358304375,-0.6863538949716215
ab6c9e4d8e64,-1.669645763463944,1.0976234554366053
ab80ec0882ca,21.97229552588606,-4.298625148287726
acb5ee1b35fd,-2.751758789379217,-0.3549211325097209
ad7b0d773a4a,-3.9858713120906906,-3.543354183461065
add697153a07,-3.9568867347470653,0.6126247466661023
b1a8b5dfd391,13.052882980054134,1.7831834082149716
b46938568ddc,1.9891698317134205,-2.959984666141633
b476034a2e3d,2.195582200751635,0.4289365024947798
b6b8b829ca63,-4.144110173068137,0.7661351171236734
b6e12ac4aa4b,2.0586649747692927,0.8588760381201542
ba38270a360e,-1.9586917909008956,0.3170404448194224
bbfd7c7fa784,-3.471452521827069,-0.7529486136145013
bf03a8cf21da,5.774476874077629,1.387606689920694
c1244d6dea7a,-3.149216222671525,1.739825314509238
c32f47bda75b,0.19762546824395175,0.2748712186347445
c422e08d8f19,0.04160981585048447,-0.025056517644107983
c4a177fb3092,9.681723220611188,2.6168013002921287
c5fa6b7264f9,-0.2748389946980566,3.4163033032377585
c762bb72bd52,2.8896845139489313,2.854419406682356
c8b50ccf6f9c,-3.8025790612522097,-1.8568012946479873
cc26481a6b26,-3.0977791352719755,0.17398527273857584
ce0e3832ae5b,-2.724974151828318,0.2174425908192719
cf5c2db7d01b,-0.7262710722540355,-0.9664334604242991
d15c67c0173b,-2.5881602485945137,1.4824044432262606
d18448fa2230,-6.752527428936024,-0.8411552559498775
d4032a0b3dea,-0.44880121909596987,1.8142659739928153
d55816977df1,8.860602057073026,10.376328675754813
d60abb43b0bc,-3.1866550366056314,0.2202478831833995
d8555c97f799,7.353783660746205,0.8072499559849646
e00164f28d81,0.7605699534324727,3.868588182025658
e1c96aca8aa9,5.906285436204764,1.4700861959904565
e2972a4aa5d5,-2.817131898605366,-0.7279205461044864
e7b153decb4b,-4.883974973982679,0.505201691678665
e9ae574ff977,4.123090562058003,3.0346092912122455
e9ba19111ba2,0.8334297088200163,-1.990583348597638
eecaa816b74b,-2.13884794781416,-1.6702357081010668
f01cc7652e9e,1.6113818019241988,-0.08755086859745452
f031c514ae35,4.592875009876656,1.1057814339784104
f1a487408720,-5.26483924425985,-1.2108909070138698
f695586984d6,-2.0713041322569925,0.6398081067961646
fc6f5ded11aa,-1.5878727355125812,-0.7327492008383463
fef3a0e21aab,0.19746619530360654,-1.0153013071333858
ceaddbf817fc,-1.1487078401557358,-2.267587023955718
d0fbcc1108d8,-4.653094704447915,-1.748628185742546
